,load,avg_latency,p99,stddev_latency,allocs,event_start_time,event_end_time
1684827297.4618425,12690.0,17224.093,25560.0,4777.789,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827297.4618425,1684827328.0205731
1684827328.021739,12520.0,16876.916,25580.0,4960.752,"{'root--consul': 1.3, 'root--frontend': 1.05, 'root--geo': 1.0833333333333333, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0666666666666667, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0833333333333333, 'root--mongodb-recommendation': 1.0333333333333334, 'root--mongodb-reservation': 1.05, 'root--mongodb-user': 1.1666666666666667, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827328.021739,1684827358.0940492
1684827358.095467,22562.0,12521.0,23170.0,4774.6,"{'root--consul': 1.6229508196721312, 'root--frontend': 1.6885245901639345, 'root--geo': 1.721311475409836, 'root--jaeger': 1.7377049180327868, 'root--memcached-profile': 1.5901639344262295, 'root--memcached-rate': 1.5737704918032787, 'root--memcached-reserve': 1.3114754098360655, 'root--mongodb-geo': 1.0327868852459017, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.098360655737705, 'root--mongodb-user': 1.1147540983606556, 'root--profile': 1.2459016393442623, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827358.095467,1684827388.6560516
1684827388.6575375,13637.0,17063.634,25260.0,4838.39,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0327868852459017, 'root--memcached-reserve': 1.4262295081967213, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.2950819672131149, 'root--reservation': 1.1147540983606556, 'root--search': 1.0, 'root--user': 1.0}",1684827388.6575375,1684827419.2024667
1684827419.2038198,13552.0,16754.463,25280.0,4910.252,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827419.2038198,1684827449.7567961
1684827449.7583053,13813.0,16841.407,25230.0,4771.196,"{'root--consul': 1.0, 'root--frontend': 1.0, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827449.7583053,1684827480.3212292
1684827480.3223052,13621.0,16739.661,25260.0,4888.625,"{'root--consul': 1.0, 'root--frontend': 1.0819672131147542, 'root--geo': 1.0, 'root--jaeger': 1.0, 'root--memcached-profile': 1.0, 'root--memcached-rate': 1.0, 'root--memcached-reserve': 1.0, 'root--mongodb-geo': 1.180327868852459, 'root--mongodb-profile': 1.0655737704918034, 'root--mongodb-rate': 1.0819672131147542, 'root--mongodb-recommendation': 1.0655737704918034, 'root--mongodb-reservation': 1.0491803278688525, 'root--mongodb-user': 1.0, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827480.3223052,1684827510.8645437
1684827510.8658571,15335.0,16292.531,24710.0,4702.466,"{'root--consul': 1.8360655737704918, 'root--frontend': 2.0, 'root--geo': 1.901639344262295, 'root--jaeger': 1.540983606557377, 'root--memcached-profile': 1.3278688524590163, 'root--memcached-rate': 1.1147540983606556, 'root--memcached-reserve': 1.0163934426229508, 'root--mongodb-geo': 1.0491803278688525, 'root--mongodb-profile': 1.0491803278688525, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0491803278688525, 'root--mongodb-reservation': 1.0819672131147542, 'root--mongodb-user': 1.098360655737705, 'root--profile': 1.0, 'root--rate': 1.0, 'root--recommendation': 1.0, 'root--reservation': 1.0, 'root--search': 1.0, 'root--user': 1.0}",1684827510.8658571,1684827541.4392834
1684827541.4406815,19502.0,17669.405,23530.0,4295.348,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 3.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.05, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0333333333333334, 'root--profile': 1.8333333333333333, 'root--rate': 1.7666666666666666, 'root--recommendation': 1.5166666666666666, 'root--reservation': 1.25, 'root--search': 1.1666666666666667, 'root--user': 1.9666666666666666}",1684827541.4406815,1684827571.4872115
1684827571.4884112,31425.0,12893.843,19910.0,3808.948,"{'root--consul': 2.0, 'root--frontend': 2.0, 'root--geo': 3.0, 'root--jaeger': 2.0, 'root--memcached-profile': 2.0, 'root--memcached-rate': 2.0, 'root--memcached-reserve': 2.0, 'root--mongodb-geo': 1.0, 'root--mongodb-profile': 1.0, 'root--mongodb-rate': 1.0, 'root--mongodb-recommendation': 1.0, 'root--mongodb-reservation': 1.0, 'root--mongodb-user': 1.0, 'root--profile': 2.0, 'root--rate': 2.0, 'root--recommendation': 2.0, 'root--reservation': 2.0, 'root--search': 2.0, 'root--user': 2.0}",1684827571.4884112,1684827602.0453331
